"Event","Frequency"
"[name] struck out looking, grounded out to [position] unassisted","3"
"GOULD[name] advanced to [base]","1"
"[name] to [position] for de los RIOS","4"
"[name] to [position] for FARMER,Garre","3"
"[name] singled down the [position] line, out at [base] [position] to [position] (count)","18"
"Lo[name] flied out to [position]","2"
"[name] Mitc advanced to [base], out at home [position] to [position]","1"
"SHINKSY,Cole to [position] for [name]","1"
"[name] advanced to [base] on a throwing error by [position], advanced to [base], scored on a throwing error by [position]","1"
"[name] singled, advanced to [base] on a throwing error by [position], RBI (count)","13"
"[name] Rei singled up the middle (count)","3"
"[name] doubled to [fieldLocation], 2 RBI, out at [base] [position] to [position] to [position] (count)","2"
"BONTA-[name] to [position] for [name]","5"
"[name] Matt to [position] for [name]","6"
"[name] singled through the left side, advanced to [base], 2 RBI","1"
"[name] struck out swinging","19499"
"[name] singled through the right side, RBI","417"
"[name] singled, advanced to [base] on an error by [position], advanced to [base], RBI (count)","5"
"[name] singled through the right side, advanced to [base] on a throwing error by [position], advanced to [base] on the error (count)","1"
"[name] to [position] for [name] Josh","1"
"[name] reached on a throwing error by [position], advanced to [base] on an error by [position]","1"
"[name] singled up the middle, advanced to [base] on a throwing error by [position], advanced to [base], RBI (count)","1"
"[name] Anthony singled, RBI","1"
"[name] homered, inside the park, RBI","1"
"Chamberlin, Jace to [position] for [name]","2"
"[name] Andre reached on a fielder's choice (count)","3"
"[name] reached on an error by [position], advanced to [base] on an error by [position]","2"
"[name] out on double play [position] to [position] to [position], caught stealing., double play","1"
"[name] scored on a throwing error by [position], unearned","156"
"[name] grounded into triple play [position] to [position] to [position] (count)","3"
"[name] singled to [fieldLocation], advanced to [base] on a throwing error by [position] (count)","205"
"[name] Eri to [position] for [name] Hunte","1"
"[name] AJ advanced to [base]","2"
"[name] Bre to [position]","1"
"[name] singled to [fieldLocation], out at [base] [position] to [position] to [position], 2 RBI","4"
"[name] advanced to [base], advanced to [base] on a fielding error by [position], scored, unearned","2"
"[name] singled through the left side, advanced to [base] on an error by [position], 2 RBI (count)","2"
"[name] Hunte doubled to [fieldLocation], advanced to [base] on a throwing error by [position], scored, unearned","1"
"[name] Antho grounded out to [position] (count)","13"
"[name] to [position] for [name] McClain","1"
"[name] Treyben. singled to [fieldLocation]","1"
"[name] reached [base] on an error by [position], SAC","1"
"Chopper up the middle deflected off a diving 2B [name]","1"
"Achecar, F. pinch hit for [name]","2"
"[name] reached on a fielder's choice to [fieldLocation], out on the play (count)","1"
"[name] struck out swinging, reached [base] on an error by [position], advanced to [base] on the throw (count)","1"
"[name] Blunk to [position] for [name]","1"
"[name] advanced to [base] on a passed ball, scored","3"
"[name] Aus pinch ran for [name] Jac","1"
"[name] flied out to [position] down the [fieldLocation], SF, RBI (count)","9"
"[name] doubled to [fieldLocation], RBI, out at [base] [position] to [position] to [position] to [position]","1"
"[name] advanced to [base] on an error by [position], out at [base] [position] to [position]","1"
"[name] out at [base] [position] to [position], 2 RBI","1"
"[name] LaDonis grounded out to [position], SAC, bunt","1"
"[name] Jeff flied out to [position]","2"
"[name] pinch hit for JACKSON,Jayl","1"
"[name] Antho walked (count)","3"
"GOULD[name] fouled out to [position] (count)","1"
"[name] lined out to [position] down the [position] line","1"
"[name] singled down the [fieldLocation], advanced to [base] on an error by [position]","1"
"BROOKS,Willi pinch hit for [name]","13"
"[name] out on the play, out at [base] [position] unassisted","17"
"[name] DAZ advanced to [base]","16"
"[name] grounded out to [position] unassisted, SAC, RBI (count)","2"
"[name] TJ homered to [fieldLocation], RBI (count)","1"
"[name] Chris to [position] for [name] Antho","1"
"[name] advanced to [base] on a throwing error by [position], failed pickoff attempt, advanced to [base]","74"
"Lo[name] walked","1"
"[name] reached on an error by [position], advanced to [base] on the throw","15"
"Lasorsa to [position] for [name]","2"
"GOULD[name] struck out swinging (count)","2"
"[name] hit into double play [position] to [position] (count)","230"
"[name] DAZ struck out looking","2"
"[name] singled to [fieldLocation], advanced to [base] on a fielding error by [position], 2 RBI (count)","11"
"Balderrama,M to [position] for [name]","13"
"[name] Anthony advanced to [base]","6"
"[name] doubled to [fieldLocation], 2 RBI, out at [base] [position] to [position] to [position]","1"
"[name] Jack doubled to [fieldLocation]","1"
"[name] pinch hit for [name] Duncan","1"
"[name] grounded out to [position] down the [position] line, SAC, bunt (count)","2"
"[name] Larr reached on a fielder's choice (count)","2"
"[name] reached on an error by [position], SF, advanced to [base], RBI","1"
"[name] Natale grounded out to [position]","1"
"[name] Anthony struck out looking","2"
"[name] Cory advanced to [base] on a wild pitch","1"
"[name] reached on an error by [position] up the middle (count)","1"
"[name] walked, advanced to [base] on a passed ball","1"
"Kris [name] to [position] for [name]","1"
"[name] advanced to [base], out at [base] [position] unassisted","10"
"[name] Tho to [position] for LUSTER,Antoi","1"
"[name] Jesse grounded out to [position] (count)","2"
"[name] singled to [fieldLocation], RBI, bunt","1"
"[name] Quincy doubled to [fieldLocation]","1"
"[name] Johnny struck out swinging","2"
"[name] McClain reached [base] on a fielding error by [position], advanced to [base]","1"
"[name] Davio out at [base] [position] to [position], picked off","2"
"Off the pitcher, then off [fieldLocation] bag, then off glove of [name]","1"
"[name] singled to [fieldLocation], RBI, RBI","6"
"[name] Steve out at [base] [position] to [position], caught stealing","1"
"Chase [name] popped up to [position]","1"
"[name] stole home, failed pickoff attempt, unearned","1"
"[name] II out at [base] [position] to [position] (count)","1"
"[name] to [position] for","1"
"[name] walked, RBI","647"
"[name] advanced to [base], scored on a fielding error by [position], team unearned","2"
"[name] singled through the left side, RBI, advanced to [base] on a muffed throw by [position]","1"
"[name] Aus to [position] for [name] Jor","1"
"Throw pulled [name] off the bag but he tagged the runner","1"
"[name] singled to pitcher (count)","876"
"[name] advanced to [base], advanced to [base] on an error by [position]","95"
"[name] lined out to [position], SAC, RBI (count)","20"
"[name] to [position] for STONE[name]","1"
"[name] Jimenez hit by pitch (count)","1"
"[name] gets ejected from game in top 4th","1"
"[name] Jack singled up the middle","1"
"[name] walked, advanced to [base] on a wild pitch (count)","2"
"[name] to [position] for S[name]","1"
"[name] doubled, 2 RBI, out at [base] [position] to [position] to [position] (count)","2"
"[name] singled to [fieldLocation],, 2 RBI","1"
"FEDJE[name] to [position] for [name]","1"
"[name] McClain singled up the middle","1"
"McCOLLUM,Jer to [position] for [name]","4"
"[name] Cole grounded out to [position]","2"
"Je [name] advanced to [base] on a wild pitch","4"
"[name] advanced to [base] on a fielding error by [position], advanced to [base]","22"
"[name] grounded out to [position] unassisted, assist by [position]","1"
"[name] flied out to [position] down the [fieldLocation], SAC, RBI (count)","1"
"[name] Mitc grounded out to [position], bunt, SAC (count)","1"
"[name] Jr. struck out (count)","1"
"[name] Pey pinch hit for [name]","1"
"Coss to [position] for [name]","8"
"[name] singled through the right side, advanced to [base] on the throw, advanced to [base] on a throwing error by [position]","1"
"[name] Jack out at [base] [position] to [position]","1"
"[name] reached [base] on an error by [position], sacrifice fly, RBI","1"
"Mc[name] lined out to [position] (count)","1"
"[name] homered down the [fieldLocation], 2 RBI, unearned (count)","1"
"[name] reached on a throwing error by [position], bunt, SAC (count)","10"
"[name] grounded into double play [position] unassisted (count)","9"
"[name] doubled down the [position] line (count)","1514"
"MARTIN,Dexte to [position] for [name]","2"
"[name] doubled to [fieldLocation], advanced to [base] on an error by [position], 2 RBI","2"
"[name] advanced to [base], out at [base] [position] to [position] to [position] to [position] to [position]","3"
"[name] Jac flied out to [position], SAC (count)","1"
"[name] II grounded out to [position] (count)","1"
"With 2-1 count on [name] last two pitches were intentionally wide for IBB","1"
"[name] singled, 2 RBI (count)","35"
"[name] tripled down the [position] line","36"
"[name] reached [base] on a fielding error by [position], advanced to [base], 2 RBI","2"
"[name] Quincy grounded out to [position]","4"
"[name] Richar reached on a fielder's choice, out at [base] [position] to [position], RBI (count)","1"
"[name] Failed pickoff attempt, advanced to [base] on a throwing error by [position]","3"
"[name] to [position] for Vallandingha","1"
"[name] doubled to [fieldLocation], out at [base] [position] to [position] to [position] to [position] to [position], RBI (count)","1"
"[name] advanced to [base] on a throwing error by [position], advanced to [base] on the throw","5"
"[name] singled to pitcher, advanced to [base] on a throwing error by [position], RBI","2"
"[name] McClain flied out to [position]","6"
"Roos. [name] fouled out to [position]","1"
"[name] Jesse grounded out [position] to [position] to [position]","1"
"Fly ball just beyond out-stretched glove of CF Sawyer. Fielded by LF [name]","1"
"[name] singled, scored on an error by [position] (count)","1"
"[name] struck out swinging, reached [base] on an error by [position] (count)","15"
"[name] singled, advanced to [base] on the throw, 2 RBI","18"
"SS [name] slight bobble of grounder, but recovered","1"
"[name] reached on a fielder's choice, advanced to [base], out at [base] [position] to [position]","1"
"[name] homered down the [position] line, 2 RBI, team unearned (count)","1"
"[name] doubled, advanced to [base] on the throw, RBI (count)","8"
"[name] doubled to [fieldLocation], 2 RBI, advanced to [base] on the throw","1"
"[name] out at home [position] to [position] to [position] to [position] to [position] to [position], picked off","1"
"[name] reached on a fielder's choice to [fieldLocation], advanced to [base], advanced to [base] on a throwing error by [position]","1"
"[name] singled to [fieldLocation], 3 RBI (count)","5"
"[name] Bre popped up to [position] (count)","2"
"[name] singled, advanced to [base] on an error by [position], out at home [position] to [position] to [position] to [position]","1"
"[name] singled to [fieldLocation], out at [base] [position] to [position], picked off, RBI","1"
"[name] fouled out to [position], SF, RBI (count)","70"
"[name] to [position] for [name] Luke","1"
"[name] out at [base] [position] to [position] to [position], bunt","1"
"[name] scored, obstruction","1"
"Auliv. [name] singled to [fieldLocation]","1"
"[name] grounded out to [position] unassisted, SAC, bunt","70"
"[name] K., unearned","1"
"[name] [name] walked","1"
"[name] advanced to [base], scored on a muffed throw by [position], unearned","3"
"Trent [name] popped up to [position] to [fieldLocation]","1"
"[name] doubled inside the park (count)","1"
"[name] Natale advanced to [base], out at home [position] to [position]","1"
"[name] out on the play, assist by [position], assist by [position]","1"
"[name] Jack scored","7"
"[name] advanced to [base], out on the play, out at [base] [position] to [position]","2"
"[name] doubled down the [fieldLocation], advanced to [base] on a fielding error by [position], RBI (count)","1"
"[name] singled to [fieldLocation], advanced to [base] on a fielding error by [position], advanced to [base] on the error (count)","5"
"K. [name] reached on an error by [position]","1"
"[name] advanced to [base], out at [base] [position] to [position], out on the play","1"
"[name] tripled down the [position] line, scored on a throwing error by [position], RBI (count)","1"
"[name] Shan stole [base]","4"
"[name] doubled down the [position] line, out at [base] [position] to [position] to [position], 3 RBI","1"
"[name] singled to [fieldLocation], advanced to [base] on the throw, RBI","88"
"[name] Aust singled to [fieldLocation]","1"
"[name] lined out to [position] down the [fieldLocation], SF, RBI (count)","1"
"[name] struck out swinging, out at [base] [position] unassisted","43"
"[name] tripled to [fieldLocation], out at home [position] to [position] to [position], RBI","1"
"[name] reached on a fielder's choice, advanced to [base] on the error, RBI","1"
"[name] Jac singled through the left side, 2 RBI (count)","1"
"[name] singled down the [fieldLocation], bunt","6"
"Ja [name] singled to [fieldLocation] (count)","1"
"[name] Cory grounded out [position] to [position] to [position]","1"
"[name] scored on a muffed throw by [position], unearned","4"
"[name] advanced to [base] on a passed ball, scored on an error by [position], unearned","1"
"[name] singled to [fieldLocation], advanced to [base] on a fielding error by [position], advanced to [base] on an error by [position]","1"
"EDWARDS,Chri to [position] for [name]","5"
"[name] Jac reached on a fielding error by [position], RBI (count)","1"
"[name] Jimenez stole [base]","1"
"[name] singled through the left side, RBI (count)","1684"
"[name] homered inside the park, RBI","4"
"[name] to [position] for Hicks, M.","16"
"[name] stole [base], advanced to [base] on an error by [position], scored on an error by [position]","1"
"[name] Jac scored on a passed ball, unearned","1"
"[name] hit into double play [position] unassisted, bunt (count)","1"
"[name] singled, advanced to [base] on a fielding error by [position], out at [base] [position] to [position] to [position], RBI","1"
"[name] to [position] for [name] Clayton","1"
"BROCK[name] advanced to [base] on a wild pitch","1"
"[name] tripled down the [position] line, 3 RBI","6"
"[name] advanced to [base], scored on a wild pitch","3"
"[name] reached on a fielder's choice, RBI, advanced to [base]","1"
"[name] grounded out to [position] down the [position] line, bunt (count)","9"
"[name] singled to [fieldLocation], advanced to [base] on a throwing error by [position], advanced to [base] on a throwing error by [position] (count)","1"
"[name] reached on a fielder's choice, bunt, SAC, RBI","1"
"[name] pinch hit for [name] Jr.","2"
"[name] doubled, advanced to [base] on a throwing error by [position] (count)","5"
"[name] Cay to [position] for [name]","5"
"[name] homered to [fieldLocation], RBI, team unearned (count)","1"
"[name] homered, 4 RBI, unearned (count)","3"
"StankiewiczD to [position] for [name]","10"
"[name] Rob doubled to [fieldLocation], 2 RBI","1"
"[name] [name]","8"
"[name] singled, advanced to [base] on the throw, RBI (count)","88"
"[name] Hunter advanced to [base] on a passed ball","1"
"[name] singled down the [position] line, 2 RBI, out at [base] [position] to [position] (count)","2"
"McClain [name] reached [base] on a fielding error by [position]","1"
"PFUTZENREUTE to [position] for [name]","2"
"de los [name] to [position] for SHULSTAD,Dev","1"
"[name] popped up to [position] down the [fieldLocation] (count)","85"
"[name] tripled to catcher, 2 RBI","1"
"[name] Randell singled, advanced to [base] on the throw, RBI","1"
"[name] II advanced to [base] on an error by [position], failed pickoff attempt, advanced to [base]","1"
"[name] Nol to [position] for [name]","4"
"[name] Jawan reached on a fielder's choice","1"
"[name] reached on a throwing error by [position]","279"
"[name] reached on catcher's interference (count)","127"
"[name] hit into double play [position] to [position] to [position], interference (count)","1"
"[name] reached on a fielding error by [position], bunt, SAC","1"
"[name] stole [base], scored on an error by [position]","9"
"[name] singled to pitcher, bunt, advanced to [base] (count)","1"
"[name] reached on an error by [position], SAC, bunt, assist by [position] (count)","2"
"Murawski to [position] for [name]","1"
"SAWRIE,Natha to [position] for [name]","8"
"[name] to [position] for S.-P.","12"
"[name] to [position] for 6","1"
"[name] pinch hit for Fitzpatrick,Jordan","1"
"[name] Christ walked","1"
"[name] grounded into double play [position] to [position] to [position] to [position], bunt","1"
"[name] Buddy singled down the [position] line","1"
"[name] Ryan to [position] for [name]","2"
"[name] Jared scored, unearned","2"
"[name] doubled, advanced to [base] on a throwing error by [position]","1"
"[name] Pey to [position] for [name] Mitc","2"
"[name] fouled out to [position], SF, RBI","16"
"[name] advanced to [base] on a fielding error by [position], caught stealing, assist by [position]","1"
"[name] to [position] for Chamberlin","2"
"[name] Gar singled to [fieldLocation] (count)","1"
"[name] struck out swinging, bunt (count)","91"
"[name] Jr., DaShawn flied out to [position]","3"
"[name] to [position] for W. Templett","1"
"[name] singled to [fieldLocation], out at [base] [position] to [position] to [position] to [position], 2 RBI","3"
"[name] tripled down the [position] line, 3 RBI (count)","26"
"[name] reached on a throwing error by [position] down the [position] line (count)","1"
"[name] was ejected in the 8th inning","1"
"[name] Hunte flied out to [position] (count)","4"
"[name] TJ struck out swinging, out at [base] [position] to [position]","1"
"[name] singled down the [fieldLocation], advanced to [base] on a throwing error by [position], RBI","1"
"[name] A.J. doubled to [fieldLocation], RBI","1"
