"Event","Frequency"
"[name] struck out swinging (count): [name] advanced to [base] on a passed ball: [name] scored on a passed ball ","1"
"[name] struck out swinging (count)3a [name] stole [base], advanced to [base] on a throwing error by [position] ","4"
"[name] struck out swinging (count); [name] out at [base] [position] to [position], out on the play ","1"
"[name] doubled to [fieldLocation], RBI (count)3a [name] scored ","627"
"[name] grounded out to [position] unassisted, bunt (count): [name] advanced to [base] ","1"
"Boselli Iii struck out swinging (count) ","3"
"[name] flied out to [position] to [fieldLocation] (count); [name] advanced to [base] ","62"
"McAlister, Z struck out swinging (count) ","1"
"[name] [name] doubled to [fieldLocation], RBI; [name] scored ","1"
"F. De'Jesus struck out swinging (count) ","1"
"[name] grounded into double play [position] to [position] to [position] (count): [name] advanced to [base]: [name] advanced to [base]: [name] out on the play ","7"
"Trent [name] to [position] ","1"
"Ball thrown from [base] to [base] hit runner's helmet and went out of play ","1"
"[name] Quincy advanced to [base] on a wild pitch ","1"
"[name] singled, advanced to [base] (count); [name] advanced to [base]; [name] advanced to [base], scored on a fielding error by [position], unearned ","1"
"Vosburg,E to [position] for Balgaard,B ","1"
"Klohen, A. grounded out to [position], RBI (count); [name] scored ","1"
"[name] advanced to [base]; [name] out at [base] [position] to [position] ","5"
"Dowdy singled to [fieldLocation] (count) ","1"
"[name] fouled out to [position] (count): [name] advanced to [base] on the throw ","2"
"[name] fouled out to [position]: [name] advanced to [base] ","6"
"[name] grounded into double play [position] to [position] to [position] to [position] (count); [name] out on the play ","16"
"Mayeda grounded out to [position] ","2"
"[name] singled to [fieldLocation], out at [base] [position] to [position] to [position], 2 RBI (count); [name] scored; [name] scored ","3"
"[name] advanced to [base] on a throwing error by [position], failed pickoff attempt: [name] scored on the error, unearned ","1"
"[name] to [position] for T. Ruiz ","1"
"[name] singled down the [position] line (count)3a [name] advanced to [base], out at [base] [position] to [position] ","1"
"[name] grounded out to [position] unassisted, SAC, bunt, RBI: [name] advanced to [base]: [name] scored ","2"
"[name] flied out to [position], SAC, RBI (count)3a [name] advanced to [base]3a [name] advanced to [base]3a [name] scored ","5"
"[name] reached on a dropped fly by [position], advanced to [base] on the error ","3"
"[name] singled up the middle, 2 RBI (count)3a [name] advanced to [base]3a [name] scored3a [name] scored, unearned ","2"
"[name] singled to [fieldLocation], RBI, advanced to [base] on a throwing error by [position]: [name] scored ","1"
"Bakst,Dan flied out to [position], RBI (count); [name] scored ","1"
"[name] reached on a fielder's choice, grounded out to [position] unassisted (count); [name] out at [base] [position] to [position], interference ","1"
"[name] Col struck out swinging (count) ","5"
"[name] struck out looking, out at [base] [position] to [position]3a [name] advanced to [base] ","1"
"[name] reached on an error by [position] (count)3a [name] advanced to [base]3a [name] Aus advanced to [base] ","1"
"[name] grounded into double play [position] to [position] to [position], bunt (count); [name] out on the play ","4"
"[name] singled to pitcher, advanced to [base] on a throwing error by [position] (count); [name] scored, unearned; [name] scored, unearned ","1"
"[name] ejected in the top of the eighth inning ","2"
"Fountain, M. struck out looking (count) ","1"
"Mayeda grounded out to [position], SAC, bunt; Burnett advanced to [base] ","1"
"[name] Jake pinch ran for [name] ","9"
"[name] grounded out to [position], SAC, RBI: [name] advanced to [base]: [name] scored, unearned ","1"
"[name] reached on a fielder's choice, RBI (count); [name] out at [base] [position] to [position]; [name] advanced to [base], scored on a throwing error by [position]; [name] scored ","1"
"[name] flied out to [position] to [fieldLocation] (count): [name] advanced to [base] on a throwing error by [position], scored, unearned ","1"
"[name] reached [base] on a throwing error by [position], SAC, bunt, advanced to [base] on the error; [name] advanced to [base], advanced to [base] on the error; [name] advanced to [base], scored on the error ","1"
"[name] grounded out to [position] unassisted, interference3a [name] out at [base] [position] to [position] ","1"
"[name] grounded into double play [position] to [position]3a [name] advanced to [base]3a [name] out on the play ","4"
"[name] singled down the [fieldLocation], out at [base] [position] to [position], RBI (count)3a [name] advanced to [base]3a [name] scored ","1"
"Jarvis Warne struck out swinging, grounded out to [position] unassisted (count) ","1"
"SMITH, G. to [position] for ROBINSON, T. ","3"
"[name] singled to [fieldLocation], advanced to [base] on the throw, RBI (count)3a [name] scored, unearned ","4"
"[name] homered to [fieldLocation], 2 RBI, team unearned; [name] scored, unearned ","1"
"[name] singled to [fieldLocation], advanced to [base] on a throwing error by [position], advanced to [base], 2 RBI (count); [name] scored, unearned; [name] scored; [name] scored ","1"
"[name] singled, bunt, advanced to [base] on a throwing error by [position], advanced to [base] (count): [name] scored on the error, unearned ","1"
"[name] struck out swinging, reached [base] on a wild pitch (count): [name] advanced to [base] on a wild pitch, advanced to [base] ","1"
"[name] singled to [fieldLocation], RBI; [name] advanced to [base]; [name] Daniel scored, unearned ","1"
"[name] singled down the [position] line, advanced to [base] on a fielding error by [position], RBI (count)3a [name] scored3a [name] scored ","1"
"Call Stands ","1"
"[name] grounded out to [position], SAC3a [name] advanced to [base] ","33"
"[name] grounded out to [position] unassisted down the [position] line, SAC, bunt (count)3a [name] advanced to [base] ","2"
"HELTON lined out to [position], SF, RBI; MARSHALL advanced to [base]; MEDINA advanced to [base]; BROUGHTON scored, unearned ","1"
"[name] singled to [fieldLocation], advanced to [base] on the throw, RBI (count): [name] advanced to [base], out at home [position] to [position] to [position]: [name] scored, unearned ","1"
"[name] Richar walked, RBI (count): [name] Larr advanced to [base]: [name] advanced to [base]: [name] scored ","1"
"[name] grounded out to [position], RBI; [name] Quincy advanced to [base]; [name] scored ","1"
"[name] advanced to [base] on a muffed throw by [position], advanced to [base] ","1"
"[name] singled to [fieldLocation], advanced to [base] on a fielding error by [position], RBI (count); [name] scored on the error, unearned ","1"
"[name] singled up the middle, RBI, RBI3a [name] scored, unearned3a [name] scored, unearned ","1"
"Driscoll popped up to [position] (count) ","1"
"[name] reached on a fielder's choice to [fieldLocation], RBI (count)3a [name] out at [base] [position] unassisted3a [name] advanced to [base]3a [name] scored, unearned ","1"
"HP ump Norris hit @ 7:39 p.m. Game clock continues. Game resumed @8:06 pm ","1"
"[name] reached on a fielder's choice; [name] out on double play [position] to [position] to [position]; [name] out on the play ","1"
"[name] singled to [fieldLocation], bunt: [name] advanced to [base] ","10"
"[name] singled to [fieldLocation], advanced to [base] on the throw, RBI (count); [name] advanced to [base]; [name] scored, unearned ","6"
"[name] singled to [fieldLocation], RBI (count); [name] advanced to [base], advanced to [base] on a throwing error by [position]; [name] scored ","1"
"[name] reached on a fielder's choice, bunt, RBI; [name] advanced to [base]; [name] scored ","1"
"CF [name] appeared to lose ball in sun. Final pitches: 93, 68 strikes ","1"
"[name] reached on a dropped fly by [position] down the [position] line (count); [name] scored, unearned; [name] scored, unearned ","1"
"[name] singled to [fieldLocation], bunt, advanced to [base] on a throwing error by [position] (count)3a [name] advanced to [base]3a [name] scored, unearned ","1"
"[name] fouled out to [position], SAC, RBI (count); [name] scored, unearned ","1"
"[name] singled, advanced to [base] on the throw, 2 RBI (count); [name] advanced to [base]; [name] scored; [name] scored ","2"
"LUKE, Bryce popped up to [position] ","2"
"L. Lambert to [position] for [name] Rinke ","1"
"[name] singled to [fieldLocation], advanced to [base] on a throwing error by [position], advanced to [base] ","2"
"[name] popped up to [position], SF, RBI (count)3a [name] advanced to [base] on a throwing error by [position]3a [name] advanced to [base]3a [name] scored ","1"
"[name] homered, 4 RBI (count); [name] scored; [name] scored; [name] scored, unearned ","1"
"[name] out on the play, caught stealing, out at [base] [position] to [position] ","25"
"[name] flied out to [position], SAC, RBI (count)3a [name] scored ","99"
"[name] Col reached on a fielder's choice to [fieldLocation], RBI3a [name] Hunte out at [base] [position] to [position]3a [name] Eri advanced to [base]3a [name] Pete scored, unearned ","1"
"Darr stole [base] ","1"
"[name] reached on a fielding error by [position] (count); [name] TJ advanced to [base]; [name] scored ","1"
"[name] reached on a fielder's choice, SAC (count)3a [name] advanced to [base] ","1"
"First Pitch: 1:08 pm ","1"
"[name] reached on a fielder's choice; [name] out at [base] [position] to [position]; [name] out at [base] [position] unassisted ","1"
"[name] flied out to [position] to [fieldLocation] (count); [name] advanced to [base] on the throw; [name] advanced to [base] ","1"
"[name] reached on a fielding error by [position], RBI (count): [name] scored, unearned ","4"
"[name] singled up the middle (count)3a [name] advanced to [base], out at home [position] to [position] ","4"
"[name] advanced to [base]3a [name] advanced to [base] on a throwing error by [position] ","3"
"[name] reached on a fielder's choice; Andrew [name] out at [base] [position] to [position]; [name] advanced to [base] ","1"
"[name] out at [base] [position] to [position] to [position], picked off; [name] stole home ","2"
"[name] singled, advanced to [base] on the throw, RBI (count); [name] advanced to [base], scored on a throwing error by [position], unearned; [name] scored ","1"
"RORIE,[name] walked; [name] advanced to [base] ","1"
"[name] doubled, advanced to [base] on an error by [position], RBI; [name] scored, unearned ","1"
"[name] advanced to [base]; [name] advanced to [base]; [name] out at home [position] to [position] to [position] to [position] to [position], picked off ","1"
"[name] singled to [fieldLocation]: [name] advanced to [base], out at home [position] to [position], out on the play ","1"
"[name] tripled, RBI (count)3a [name] scored ","2"
"Chris [name] grounded out to [position] ","1"
"Rodriguez lined out to [position] ","1"
"[name] singled through the right side, RBI (count): [name] advanced to [base], out at [base] [position] to [position]: [name] scored, unearned ","1"
"[name] homered to [fieldLocation], 3 RBI3a [name] scored3a [name] scored ","63"
"[name] singled to [fieldLocation], advanced to [base] on a throwing error by [position] (count); [name] advanced to [base]; [name] scored ","4"
"[name] Jeff was intentionally walked ","1"
"[name] singled, advanced to [base] on the throw (count): [name] advanced to [base], advanced to [base] on the throw ","1"
"[name] Ruban flied out to [position] ","5"
"[name] grounded out to [position], bunt, SAC, RBI; [name] scored, unearned ","1"
"[name] to [position] for S[name] ","1"
"[name] singled to [fieldLocation], RBI; CORDOVA-SMITH,Peyton advanced to [base]; [name] scored ","2"
"B. Dewaine walked ","1"
"[name] grounded out to [position] unassisted, RBI; [name] advanced to [base]; [name] scored ","20"
"[name] flied out to [position], SAC, RBI (count): [name] scored ","94"
"[name] reached on a fielder's choice, RBI; [name] out at [base] [position] unassisted; [name] advanced to [base] on a throwing error by [position], scored, unearned; [name] scored, unearned ","1"
"[name] reached on a fielder's choice, bunt (count)3a [name] DAZ out at [base] [position] to [position] ","1"
"[name] singled to catcher, RBI3a [name] advanced to [base]3a [name] scored ","1"
"[name] reached on a fielder's choice; [name] Cory advanced to [base]; [name] advanced to [base]; [name] out at home [position] to [position] ","1"
"[name] struck out swinging (count): [name] advanced to [base] on a wild pitch ","18"
"[name] struck out, reached [base] on a wild pitch (count); [name] advanced to [base]; [name] advanced to [base] ","2"
"Kelly grounded out to [position] ","2"
"[name] homered down the [position] line, 3 RBI (count); [name] scored; [name] scored ","11"
"Clayton [name] doubled to [fieldLocation] ","1"
"[name] singled up the middle, advanced to [base] on the throw, RBI (count)3a [name] advanced to [base]3a [name] scored ","7"
"Hofer to [position] for Boria ","1"
"[name] singled up the middle3a [name] advanced to [base] on an error by [position] ","1"
"[name] singled to [fieldLocation], advanced to [base] on a throwing error by [position] (count): [name] scored ","1"
"[name] flied out to [position], SAC, RBI; [name] advanced to [base]; [name] scored ","57"
"[name] singled through the right side, advanced to [base] on a throwing error by [position] (count)3a [name] advanced to [base] ","2"
"Nelson singled through the left side, RBI3a Przybilla advanced to [base]3a Merle scored ","1"
"[name] doubled to [fieldLocation], advanced to [base], RBI (count); [name] advanced to [base], scored on an error by [position], unearned ","1"
"[name] reached on a muffed throw by [position], assist by [position] (count)3a [name] advanced to [base] on the error3a [name] advanced to [base] on the error, out at home [position] to [position]3a [name] scored on the error, unearned ","1"
"[name] to [position] for [name] Matt ","5"
"[name] doubled to [fieldLocation], ground-rule, 2 RBI (count); [name] advanced to [base]; [name] scored, unearned; [name] scored, unearned ","1"
"[name] out at [base] [position] to [position], picked off3a [name] scored ","1"
"MITCHELL,Mal advanced to [base] on a balk ","1"
"[name] singled through the right side (count); Jay. [name] advanced to [base] ","1"
"Huet, S. walked (count); Dickerson, D advanced to [base] ","1"
"[name] singled to [fieldLocation], RBI: [name] advanced to [base]: [name] advanced to [base], scored on an error by [position], unearned: [name] scored ","1"
"Hayes grounded out to [position], SAC, bunt; Cox advanced to [base] ","1"
"[name] Connor to [position] for [name] ","2"
"[name] out on batter's interference (count); [name] out on the play ","1"
"Foster doubled to [fieldLocation], RBI3a Pluth advanced to [base]3a Nelson scored ","1"
"[name] reached on a dropped fly by [position] (count): [name] advanced to [base]: [name] scored, unearned ","2"
"[name] doubled to [fieldLocation] (count): ANDERSON,Tan advanced to [base] ","1"
"[name] out at [base] [position] to [position] to [position] (count); Grisanti advanced to [base] ","1"
"[name] doubled to [fieldLocation]3a [name] ","1"
"[name] singled through the left side, advanced to [base] on a throwing error by [position]: [name] advanced to [base] ","1"
"Harding walked (count) ","1"
"[name] flied out to [position] (count); [name] advanced to [base], advanced to [base] on a throwing error by [position], scored, unearned; [name] advanced to [base], scored on the throw, unearned ","1"
"[name] singled, advanced to [base] on an error by [position], RBI3a [name] scored ","4"
"[name] homered to [fieldLocation], RBI, RBI; [name] Anthony scored ","1"
"Jarvis Warne stole [base], advanced to [base] on a throwing error by [position] ","1"
"[name] doubled down the [position] line, advanced to [base] on the throw, RBI (count)3a [name] scored ","2"
"[name] reached on a fielder's choice, RBI3a [name] out at [base] [position] to [position]3a [name] scored, unearned3a [name] scored, unearned ","1"
"[name] fouled out to [position], RBI (count); [name] scored ","1"
"[name] singled to [fieldLocation], advanced to [base] on the error (count); [name] advanced to [base], scored on a throwing error by [position], unearned ","1"
"[name] singled, advanced to [base] on an error by [position], RBI: [name] advanced to [base]: [name] scored ","1"
"[name] Jared doubled to [fieldLocation], RBI; [name] scored ","2"
"[name] walked (count); [name] out at [base] [position] to [position] to [position], picked off, caught stealing ","1"
"SANDOVAL-EST hit by pitch ","1"
"[name] reached on an error by [position], RBI (count); [name] scored, unearned ","3"
"R. Calvin singled up the middle ","1"
"[name] singled to [fieldLocation], advanced to [base] on a fielding error by [position], RBI: [name] advanced to [base]: [name] scored ","1"
"[name] flied out to [position] to [fieldLocation]: [name] advanced to [base] ","3"
"[name] Daul singled to [fieldLocation] ","1"
"[name] lined out to [position], SF, RBI (count); [name] advanced to [base]; [name] scored ","9"
"[name] out at [base] [position] to [position], caught stealing3a [name] advanced to [base] ","9"
"[name] singled to [fieldLocation], advanced to [base] on an error by [position], advanced to [base] ","1"
"[name] infield fly to [position] ","79"
"[name] singled, advanced to [base] on a throwing error by [position], RBI (count); [name] scored, unearned; [name] scored ","2"
"[name] singled to [fieldLocation]3a [name] advanced to [base], out at home [position] to [position] to [position] ","1"
"[name] hit by pitch: [name] advanced to [base] ","195"
"[name] struck out looking, hit into double play [position] to [position] (count): [name] out on the play, caught stealing ","5"
"[name] singled to [fieldLocation]; [name] out at [base] [position] to [position] ","3"
"Maas,J walked (count)3a Harris,W advanced to [base]3a Oetting,Mi advanced to [base] ","1"
"Game Suspended until noon of March 4 ","1"
"[name] grounded out to [position] unassisted (count)3a [name] out at [base] [position] to [position], out on the play ","1"
"[name] reached on a fielder's choice, grounded into double play [position] to [position] to [position]; [name] out on the play; [name] out on the play ","1"
"Provitt to [position] for Martin ","1"
"[name] Chris to [position] for [name] Robe ","1"
"[name] hit into double play [position] to [position] to [position], RBI: [name] out on the play: [name] advanced to [base]: [name] scored, unearned ","1"
"[name] reached on an error by [position], RBI3a [name] advanced to [base]3a [name] advanced to [base]3a [name] scored ","2"
"Lepchitz singled to [fieldLocation], RBI3a Rosario advanced to [base]3a Gibson out at [base] [position] to [position]3a McDaniel scored ","1"
"[name] reached [base] on an error by [position], advanced to [base] on an error by [position], advanced to [base] ","1"
"[name] Shan doubled down the [fieldLocation], RBI (count): [name] Jak scored ","1"
"[name] flied out to [position]3a [name] scored on an error by [position], unearned ","1"
"[name] singled, out at [base] [position] to [position] to [position]; [name] advanced to [base] ","2"
"Libuano, R. flied out to [position] (count) ","1"
"[name] reached [base] on a throwing error by [position], advanced to [base]; [name] advanced to [base] ","3"
"[name] out at [base] [position] to [position]; [name] advanced to [base] ","68"
"line drive comebacker, caught by goldberg for double play ","1"
"[name] doubled down the [position] line (count): [name] advanced to [base] ","67"
"[name] reached on a fielder's choice, advanced to [base]3a [name] advanced to [base]3a [name] scored3a [name] scored on an error by [position], unearned ","1"
"Michalak, P. lined out to [position] (count) ","1"
"[name] singled to [fieldLocation]: [name] advanced to [base]: [name] advanced to [base], out at home [position] to [position] ","8"
"[name] homered to [fieldLocation], 2 RBI, team unearned (count); [name] scored, team unearned ","1"
"[name] Johnny singled through the left side ","3"
"[name] pinch hit for REGULA ","1"
"[name] grounded out to [position], bunt: [name] advanced to [base] ","5"
"[name] reached on an error by [position] (count)3a [name] advanced to [base], advanced to [base] on the throw ","1"
"[name] advanced to [base]; [name] scored on a passed ball, unearned ","27"
"[name] reached on a throwing error by [position], bunt, advanced to [base] ","2"
"[name] reached on a fielder's choice, RBI (count); [name] out at [base] [position] to [position]; [name] advanced to [base]; [name] scored, unearned ","13"
"[name] Richar fouled out to [position] (count) ","1"
"[name] singled through the left side (count) ","3916"
"Ball deflected off SS Carrizosa's glove on sliding attempt in the hole ","1"
"[name] Rei grounded out to [position] (count) ","13"
"[name] advanced to [base] on an error by [position], advanced to [base] on the throw3a [name] scored, unearned ","1"
"[name] out at [base] [position] to [position], RBI; [name] advanced to [base]; [name] advanced to [base]; [name] scored ","1"
"Deimeke, L. walked (count) ","1"
"[name] out at home [position] to [position] to [position] to [position] to [position] ","2"
"[name] reached on a fielder's choice, RBI: [name] advanced to [base]: [name] scored ","6"
"[name] homered to [fieldLocation], 4 RBI, unearned (count): [name] scored, unearned: [name] scored, unearned: [name] scored, unearned ","4"
"A. Dowdy flied out to [position] (count) ","1"
"[name] reached on a throwing error by [position], SAC, bunt: [name] advanced to [base] ","1"
"Last out of previous inning, [name] running catch into LC gap hitting fence ","1"
"MacKENZIE, Jake struck out looking ","1"
"[name] flied out to [position], RBI: [name] scored ","3"
"[name] out on the play, out at [base] [position] to [position] to [position]3a [name] advanced to [base] on a wild pitch ","1"
"[name] reached on a fielder's choice, RBI (count); [name] out at [base] [position] to [position]; [name] scored, unearned ","22"
"[name] reached on a fielder's choice to [fieldLocation], advanced to [base] on a throwing error by [position] (count)3a [name] out at [base] [position] to [position] ","3"
"[name] singled through the left side, RBI (count)3a [name] out at [base] [position] to [position]3a [name] scored, unearned ","1"
"[name] McClain struck out swinging ","3"
"[name] fouled out to [position] (count): [name] advanced to [base]: [name] advanced to [base] ","3"
"[name] doubled down the [fieldLocation], 2 RBI (count); [name] advanced to [base]; [name] scored, unearned; [name] scored, unearned ","5"
"[name] Jared homered to [fieldLocation], 3 RBI; [name] scored; [name] scored ","1"
"[name] doubled to [fieldLocation], RBI (count)3a [name] scored, unearned3a [name] scored ","1"
"SCANLON flied out to [position] (count) ","3"
"[name] grounded out to [position] unassisted (count)3a [name] out at home [position] to [position] ","1"
"[name] lined out to [position]; CORDOVA-SMITH,Peyton advanced to [base] ","1"
"[name] doubled to [fieldLocation], RBI (count): [name] scored ","596"
"BUSICK, T flied out to [position] (count) ","1"
"[name] hit into double play [position] unassisted (count); [name] out on the play ","8"
"Valdes to [position] for Atkinson ","1"
"[name] reached on a fielding error by [position], advanced to [base] (count)3a [name] advanced to [base], scored on a throwing error by [position], unearned ","1"
"[name] reached on an error by [position], advanced to [base], RBI; [name] scored, unearned ","2"
"[name] struck out swinging, reached [base] on a passed ball (count); [name] scored, unearned ","2"
"[name] Chris walked ","1"
"[name] doubled to [fieldLocation], 2 RBI (count): ANDERSON,Tan scored: [name] scored ","1"
"Matthews grounded out to [position] ","1"
"[name] struck out swinging, out at [base] [position] to [position]; [name] advanced to [base] on the throw ","1"
"Nice play by SS [name] to field ball on short hop ","1"
"[name] advanced to [base], advanced to [base] on an error by [position], failed pickoff attempt ","1"
"[name] doubled, RBI (count); [name] advanced to [base], out at [base] [position] to [position] to [position]; [name] scored ","1"
"[name] singled down the [fieldLocation], advanced to [base] on the throw (count); [name] advanced to [base], out at [base] [position] to [position] ","1"
"[name] doubled down the [fieldLocation], 3 RBI (count): [name] scored, unearned: [name] scored, unearned: [name] scored, unearned ","1"
"B. Dewaine tripled to [fieldLocation] (count) ","1"
"[name] singled to [fieldLocation], advanced to [base] on the throw, advanced to [base] on the error (count); [name] advanced to [base], scored on a throwing error by [position], unearned ","1"
"C Tamez reached on a fielder's choice (count): M Sheldon out at [base] [position] to [position] ","1"
"[name] grounded out to [position] down the [position] line, RBI (count): [name] advanced to [base]: [name] scored ","1"
"**Liberty Head Coach Scott Jackson ejected** ","1"
"[name] advanced to [base]; [name] advanced to [base]; [name] scored on a wild pitch ","106"
"Warn,Michael to [position] for Rowan-,Merle ","1"
"[name] reached on a throwing error by [position], SAC, bunt, RBI (count)3a [name] advanced to [base]3a [name] scored, unearned ","1"
"[name] struck out swinging (count): [name] interference, out at [base] [position] unassisted ","1"
"HAR[name] singled up the middle (count) ","1"
"[name] tripled to [fieldLocation], RBI; [name] scored, unearned ","8"
"[name] reached on a dropped fly by [position], out at [base] [position] to [position] (count) ","3"
"[name] singled, bunt (count); [name] advanced to [base], scored on a fielding error by [position], unearned ","1"
"Dickerson, D grounded out to [position] (count) ","2"
"[name] struck out swinging3a [name] out at [base] [position] unassisted, caught stealing, interference ","1"
"[name] singled up the middle, RBI (count); [name] advanced to [base]; Jay. [name] scored ","1"
"Haston walked (count)3a Claus advanced to [base] on a passed ball ","1"
"[name] struck out swinging (count); [name] out at [base] [position] to [position] to [position], picked off ","1"
"[name] reached on an error by [position] (count): [name] advanced to [base]: [name] scored, unearned: [name] scored, unearned ","3"
"[name] singled through the right side, RBI (count); [name] advanced to [base], out at [base] [position] to [position]; [name] scored ","1"
"Dorris walked ","1"
"[name] singled through the right side (count); [name] advanced to [base], out at [base] [position] to [position] ","5"
