"Event","Frequency"
"Game delayed due to injured player","1"
"Camberlain, Jace singled through the left side","1"
"LUKE, Bryce singled up the middle (count)","2"
"Wenberg advanced to [base] on a wild pitch","1"
"Garnder, A. advanced to [base]","2"
"Grove struck out swinging","1"
"CHANDLER,Gra to [position] for ADAMS,Derric","2"
"BUSICK, T flied out to [position] (count)","1"
"Sutera singled through the left side","1"
"Holliman scored","1"
"A. Pulcher hit into double play [position] to [position] to [position] (count)","1"
"D. Elliott scored","2"
"Harding reached on a fielding error by [position] (count)","1"
"Dowdy scored","1"
"SNIATYSKI tripled to [fieldLocation], RBI (count)","1"
"G. Benza to [position]","2"
"GADDIS,Nic walked","7"
"J. Gibson grounded out to [position]","1"
"Haywayd, Buddy singled to [fieldLocation], 2 RBI","1"
"Grisanti grounded out to [position] (count)","6"
"J. Brown scored, unearned","1"
"S. Thomas reached on an error by [position] (count)","1"
"Diving catch racing in from center","1"
"Wircenske, B out on the play","2"
"Chamberlin, Jace singled through the right side","4"
"SCANLON out at [base] [position] to [position]","2"
"Anderson, C. advanced to [base]","1"
"BOGGS out on the play","1"
"Ke. Sullivan scored","1"
"Richards advanced to [base] on a passed ball","1"
"Salcedo,Dyl flied out to [position]","1"
"R. Quintanil out on the play","1"
"J. Riffle to [position]","1"
"Libuano, R. struck out swinging (count)","1"
"Mitchell,D struck out swinging, out at [base] [position] to [position] (count)","2"
"Cruz hit into double play [position] to [position] (count)","1"
"T. Goliday walked","1"
"Renoud grounded out to [position]","1"
"castanon goes deep into 34 hole, spins and makes an accurate low throw","1"
"CORDOVA-SMITH,Peyton singled through the right side","1"
"Dunker into shallow CF","1"
"flipped to [base]","1"
"WOODALL popped up to [position] to [fieldLocation]","1"
"Jack Harris walked","1"
"Flores,K walked (count)","2"
"Walwyn popped up to [position] (count)","1"
"Illinois head coach Dan Hartleb ejected after arguing HBP","1"
"Darr stole [base]","1"
"Morrow advanced to [base] on a wild pitch","2"
"CARLSON,Dyla to [position]","1"
"Koehring,T singled up the middle (count)","1"
"Garnder, A. advanced to [base] on a wild pitch","1"
"MITCHELL,Mal advanced to [base]","6"
"UCD coach visits mound. Pitches","1"
"R. Robinette walked","1"
"Leon grounded out to [position]","1"
"Gilmer, C. struck out swinging","1"
"Letein singled to [fieldLocation] (count)","1"
"BROOKS,Willi singled through the right side","2"
"Weather Delay at 5:55 pm","1"
"Cruz struck out swinging (count)","1"
"Warning","1"
"A. Davila walked (count)","1"
"A. Nicholson walked (count)","1"
"After a rain delay at 10:20, the game was suspended at 11:15 p.m","1"
"Ballard struck out swinging","2"
"Stockley lined out to [position]","1"
"Jarvis Warne reached on a fielder's choice up the middle (count)","1"
"J. Brown advanced to [base] on a wild pitch","1"
"CARLSON,Dyla reached on a fielding error by [position]","1"
"BLANC,Eric advanced to [base]","1"
"Hearn. H. popped up to [position] (count)","1"
"T. Cleasby struck out swinging (count)","1"
"CORDOVA-SMITH,Peyton singled to [fieldLocation]","4"
"H. Babineaux singled through the left side, RBI (count)","1"
"Coss reached on a fielding error by [position]","1"
"R. Ranie singled to [fieldLocation] (count)","3"
"Hansen, E grounded out to [position]","1"
"Ole Miss challenges HBP call. Ruling upheld","1"
"Harris,W walked (count)","2"
"Bilinger out on the play","1"
"W. Belinda lined out to [position] (count)","1"
"Dewaine scored","1"
"VERLIN,Nate reached [base] on a fielding error by [position]","1"
"ROBINSON advanced to [base]","2"
"Caravalho,R pinch hit for Lopez,J","1"
"Game was called after seven innings for 10-run rule","1"
"CARLSON,Dyla to [position] for SHULSTAD,Dev","2"
"GADDIS,Nic grounded out to [position]","3"
"Barkley grounded out to [position], bunt, SAC","1"
"Hebert, Z. singled through the left side, RBI (count)","1"
"Tyler Prince advanced to [base]","1"
"Berthiaume singled to [fieldLocation] (count)","1"
"Stewart reached on a fielder's choice","1"
"Hubbard to [position] for Luna","1"
"T. Schumache doubled to [fieldLocation], RBI","2"
"36 Minute Weather Delay","1"
"UCR head coach Troy Percival visits the mound. Count: 1-0","1"
"D. Pittman grounded out to [position] (count)","2"
"A. Pulcher out on the play","1"
"Alexander flied out to [position] (count)","1"
"JONES grounded out to [position]","1"
"VERLIN,Nate homered to [fieldLocation], 2 RBI","1"
"Jarvis Warne reached on an error by [position]","2"
"C Almendarez walked (count)","2"
"Thomas walked, RBI (count)","1"
"Hansen, E flied out to [position]","1"
"Vela advanced to [base]","1"
"Barkley reached on an error by [position], advanced to [base]","1"
"Berthiaume lined into double play [position] to [position] (count)","1"
"/ for AGUILAR","1"
"A. Pulcher advanced to [base]","1"
"Selke struck out looking","1"
"Dowdy popped up to [position] (count)","1"
"StankiewiczD advanced to [base]","15"
"Game delayed 50 minutes due to rain","1"
"Closner, O out at [base] [position] to [position]","1"
"36, 27","1"
"Shell to [position] for Poole","1"
"Esteban popped up to [position]","1"
"R. Lard reached on an error by [position], RBI (count)","1"
"Z. Holliman flied out to [position] (count)","1"
"Dewaine popped up to [position]","1"
"G. Barber singled to [fieldLocation]","1"
"RICH, M struck out swinging (count)","1"
"D. Morrow stole [base]","1"
"Bakst,Dan scored","4"
"Tamez flied out to [position] (count)","2"
"Peterson flied out to [position] (count)","1"
"McClain,G struck out swinging (count)","1"
"Danielson flied out to [position] (count)","1"
"J. Castaneda scored on a passed ball, unearned","1"
"Demaio, Joe grounded out to [position]","2"
"BLANKENBERGE to [position]","4"
"Mitchell,D stole [base]","6"
"C. Matthews fouled out to [position] (count)","1"
"T. Goliday doubled to [fieldLocation], RBI","1"
"J. Roth struck out swinging","1"
"Bass flied out to [position]","2"
"J Mihalski walked (count)","1"
"MITCHELL,Mal flied out to [position]","1"
"C. Matthews hit into double play [position] to [position] to [position] (count)","1"
"Wilson singled to [fieldLocation] (count)","1"
"Firebrace popped up to [position] (count)","1"
"Brady Widema singled, RBI","1"
"E. Hildebran singled to [fieldLocation], bunt (count)","1"
"R. Calvin struck out swinging","1"
"Reich, A. struck out swinging (count)","2"
"Bartholomew grounded out to [position] unassisted (count)","1"
"Rissler singled to [fieldLocation]","1"
"A. Guillen to [position] for J. lewis","1"
"Taulbee, M. reached on a fielder's choice to pitcher, advanced to [base] (count)","1"
"SCANLON fouled out to [position] (count)","1"
"MCGUIRE out on the play","1"
"Mitchell,D homered, RBI (count)","1"
"Dowdy out on the play","1"
"SOPER struck out swinging","1"
"Rodriguez struck out looking","1"
"Cole homered to [fieldLocation], RBI","1"
"Lindsay grounded out to [position], SAC, bunt","1"
"I. Rush singled to [fieldLocation] (count)","1"
"J. Romero singled to [fieldLocation] (count)","1"
"C. Matthews flied out to [position] (count)","1"
"T. Gutirrez lined out to [position] (count)","1"
"Giuliani,D struck out looking (count)","1"
"Mcintyre grounded out to [position] unassisted (count)","1"
"Fewell struck out swinging","2"
"Pattin, B. struck out swinging (count)","1"
"Sloan, Z. flied out to [position] (count)","1"
"COCCIADIFERRO, Matt hit by pitch","1"
"MITCHELL,Mal struck out looking","2"
"RodriguezM advanced to [base] on a wild pitch","1"
"Dewaine grounded out to [position]","3"
"Chopper fielded on one hop","1"
"Stockley singled to [fieldLocation]","1"
"Warnings issues to both benches by HP umpire Anthony Prater","1"
"D. Fleming scored","1"
"Taulbee, M. scored","1"
"Steele Netterville struck out looking","1"
"Nice backhand grab and toss across","1"
"wind aided pop, 3B nowhere close","1"
"Mathews grounded out to [position] (count)","2"
"bunt double inbetween pitcher and [fieldLocation]","1"
"Tanner Gaff advanced to [base]","2"
"Raby flied out to [position] to [fieldLocation]","1"
"Hadley, J. pinch hit for Malbone, J.","1"
"Johnathan Mc walked","1"
"Coleman scored","1"
"StankiewiczD struck out looking","1"
"catches outside black for 3 [position] K","1"
"Raby grounded out to [position]","2"
"Hit the very top of the 16-foot fence in center","1"
"Fountain, M. pinch hit for Desormeaux","1"
"Wilder flied out to [position]","1"
"Two Milwaukee Asst. Coaches were ejected in the bottom of 7th inning","1"
"Riordan singled to [fieldLocation] (count)","1"
"J. Martinez advanced to [base] on a wild pitch","1"
"Mound visit on a 2-1 count","1"
"HUNT,Perry (count) HUNT,Perry (AJ) advanced to [base]","1"
"CUSATI struck out swinging","1"
"Kokaska, Z. popped up to [position], RBI (count)","1"
"Chamberlin, Jace singled to [fieldLocation], RBI","4"
"B. Ruiz flied out to [position], SAC, RBI","1"
"Rojas struck out swinging, out at [base] [position] to [position]","1"
"Marle,Dakota to [position] for Hicks,Matthe","1"
"SANDOVAL-EST singled to [fieldLocation] (count)","1"
"Krueger struck out looking","1"
"South Alabama Left Fielder robbed a homerun at the wall","1"
"D. Elliott walked (count)","1"
"McClain,G flied out to [position] (count)","1"
"Hebert, Z. scored on a wild pitch","1"
"Kozlak advanced to [base]","1"
"CSUN coach visits mound. Pitches","2"
"A. Dowdy reached on an error by [position], advanced to [base] (count)","1"
"Grisanti advanced to [base] on a wild pitch","1"
"Gaytan struck out swinging (count)","1"
"Bohlmann singled to [fieldLocation]","1"
"BOURN","1"
"bloop single","1"
"Dewaine flied out to [position]","1"
"Jack Harris advanced to [base]","3"
"Rinke reached on a fielder's choice (count)","1"
"Jackson Hugh singled to [fieldLocation]","1"
"L. O'Neal flied out to [position] to [fieldLocation] (count)","1"
"LoCascio walked","1"
"LoCascio hit by pitch","1"
"C. Rize flied out to [position] (count)","1"
"Bryant Keel walked","2"
"GADDIS,Nic stole [base]","1"
"Olden,R singled up the middle, RBI (count)","1"
"Benavidez,R out on the play","1"
"Valdes to [position] for Atkinson","1"
"Berthiaume out at [base] [position] to [position]","1"
"Hearn. H. singled through the left side, RBI (count)","1"
"M. Rinke singled up the middle, RBI (count)","1"
"HAMMERS,Matt flied out to [position] to [fieldLocation] (count)","2"
"Chamberlin, Jace reached on a fielder's choice","3"
"Soto grounded out to [position] unassisted (count)","2"
"Haller hit by pitch (count)","1"
"Chamberlin, Jace grounded out to [position], bunt, SAC","1"
"B. Ruiz struck out swinging","1"
"N. Fletcher grounded out to [position] (count)","1"
"Leon walked (count)","1"
"I. Santos struck out swinging (count)","1"
"Cruz grounded out to [position] (count)","2"
"Beal, S. out at [base] [position] to [position] to [position], caught stealing","1"
"**great diving catch","1"
"Kitchen singled, bunt (count)","1"
"MacKENZIE, Jake out at [base] [position] to [position], caught stealing","2"
"Leon advanced to [base]","2"
"Stewart hit by pitch","1"
"MONTENEGR0 walked","2"
"Grisanti hit by pitch (count)","3"
"Jarvis Warne struck out swinging","5"
"B. Watson struck out looking (count)","1"
"Jarvis Warne grounded out to [position], bunt, SAC","1"
"STRALEY to [position] for WISNIEWSKI","1"
"Camberlain, Jace to [position]","1"
"A. Pulcher reached on an error by [position] (count)","1"
"Broadwater flied out to [position]","2"
"JAMES to [position] for WEST","1"
"Batson struck out swinging","1"
"MITCHELL,Mal struck out swinging, out at [base] [position] to [position]","1"
"Klohen, A. grounded out to [position], RBI (count)","1"
"Jarvis Warne scored on a wild pitch","1"
"Michalak, P. out at [base] [position] to [position]","1"
"McDaniels singled to [fieldLocation] (count)","1"
"15, 7 strikes","1"
"COSS struck out swinging (count)","1"
"Rush scored","1"
"I. Rush singled to [fieldLocation], RBI","1"
"Vandeventer pinch hit for J. Perez","1"
"RICH, M hit by pitch (count)","1"
"Balgaard,B hit into double play [position] to [position] to [position] (count)","1"
"T. Ruiz singled to [fieldLocation] (count)","1"
"Johnson,D grounded out to [position] (count)","1"
"J. Brown doubled to [fieldLocation]","1"
"Coss scored on a wild pitch","1"
"LOPEZ,Bradly stole [base]","2"
"MILLER, D lined out to [position] (count)","1"
"E. Dopkowski advanced to [base]","1"
"Zak Ebarb advanced to [base]","1"
"Howard, A. grounded out to [position] (count)","1"
"Mihalski singled to [fieldLocation] (count)","1"
"Bilinger popped up to [position] (count)","1"
"B. Watson fouled out to [position]","1"
"Richie singled to pitcher","1"
"Sacramento State head coach Reggie Christensen ejected","1"
"Gutierrez hit by pitch (count)","1"
"R. Lard flied out to [position] (count)","1"
"MacKENZIE, Jake scored","3"
"Daniels singled to [fieldLocation] (count)","1"
"LOPEZ,Bradly singled to [fieldLocation], RBI","1"
"Harper scored","1"
"Chamberlin, Jace singled to [fieldLocation]","6"
"T. Schumache advanced to [base]","2"
"D. Morrow reached on a fielder's choice","2"
"MDES base runner ruled to have interfered with the fielder","1"
"Esquivel flied out to [position]","1"
"Harper advanced to [base]","1"
"Samford coach issued warning in top of 3rd with 2 outs","1"
"Tarp has been taken back off the field","1"
"StankiewiczD walked (count)","8"
"R. Richard to [position] for P. Wierimaa","1"
"Fonseca scored","1"
"Garnder, A. walked (count)","1"
"B. Corbett grounded out to [position]","1"
"Jarvis Warne flied out to [position]","6"
"the game entered a 59 minute weather delay in the middle of the [base]","1"
"Quinn Miller struck out swinging","1"
"R. Ranie out at [base] [position] to [position]","1"
"Mayeda struck out swinging, out at [base] [position] to [position]","1"
"Lunatto grounded out to [position]","1"
"C. Maddox struck out swinging (count)","1"
"Bakst,Dan struck out swinging","2"
"Shot off the [fieldLocation] fence","1"
"E. Velez to [position] for A. Haensel","1"
"Bakst,Dan grounded out to [position]","1"
"Fryou, B. singled through the right side (count)","1"
"HAMMERS,Matt struck out swinging","3"
"Wenberg grounded out to [position] (count)","2"
"CAROLL, B to [position] for KUNKEL, B","1"
"Bakst,Dan singled, advanced to [base] on a throwing error by [position] (count)","1"
"G. Richards reached on an error by [position] (count)","1"
"de los RIOS to [position] for BENTON,Chand","1"
"Basten to [position] for Herbert","1"
"Mcintyre singled to [fieldLocation] (count)","1"
"W. Hudson out at [base] [position] to [position]","1"
"O. Reyes grounded out to [position] (count)","1"
"NICHOLS advanced to [base]","1"
"LOPEZ,Bradly reached on a fielder's choice","1"
"Sweeney struck out swinging","2"
"Giuliani,D advanced to [base]","3"
"CORDOVA-SMITH,Peyton singled to [fieldLocation], RBI","1"
"Angley-Holma advanced to [base]","2"
"BOGGS doubled to [fieldLocation], RBI","1"
"Wilburn out at [base] [position] to [position], SAC, bunt (count)","1"
"Libuano, R. singled to [fieldLocation], RBI (count)","1"
"Balls and strikes warning to the NDSU bench","1"
"VERLIN,Nate grounded out to [position] unassisted","4"
"Taylor walked","2"
"Closner, O scored","4"
"Goliday grounded out to [position]","2"
"CORDOVA-SMITH,Peyton grounded into double play [position] to [position] to [position]","1"
"B. Ector popped up to [position]","1"
"Thomas grounded out to [position] (count)","1"
"Rodriguez to [position] for Gutierrez","1"
"Klohen, A. reached on a throwing error by [position], advanced to [base] (count)","1"
"Bakst,Dan advanced to [base], out at home [position] to [position]","1"
"Rodgers, R. grounded out to [position] (count)","1"
"MITCHELL,Mal hit by pitch (count)","1"
"Schraer fouled out to [position]","1"
"Childs singled to pitcher (count)","1"
"**high chopper","1"
"Quito grounded out to [position]","1"
"Rouzan, S. reached on an error by [position], advanced to [base]","1"
"Angley-Holma reached on a fielding error by [position] (count)","1"
"Bledsoe grounded out to [position]","1"
"D. Barkley scored","1"
"BROOKS,Willi to [position]","4"
"Triplett struck out swinging (count)","1"
"Krueger out on the play","1"
"Richards singled to [fieldLocation] (count)","1"
"UCD coach visits mound. Pitches: 65, 45 strikes. Count: 1-1","1"
"JACKSON,Jayl singled to [fieldLocation]","1"
"SFA catcher and coach were both ejected for arguing balls and strikes","1"
"Olden,R out at [base] [position] to [position], caught stealing","1"
"Foster doubled to [fieldLocation], RBI","1"
"Logan, W. walked (count)","1"
"Vela doubled to [fieldLocation] (count)","1"
"Moreno pinch ran for Burnett","1"
"G Gray-Mathi to [position] for C Almendarez","1"
"High chopper toward left side of infield","1"
"RodriguezD grounded out to [position] (count)","2"
"CLEMENT struck out swinging","1"
"HUNT,Perry (count) HUNT,Perry (AJ) out at [base] [position] to [position]","1"
"Devon to [position] for Carroll","1"
"Ball thrown by pitcher hit the batter running to 1st base","1"
"Torres struck out swinging","1"
"Dah-nuh-nuh. Dah-nuh-nuh. (count)","1"
"BENTON,Chand to [position] for ANDERSON,Rya","2"
"Chamberlin, Jace flied out to [position]","5"
"Earls grounded out to [position] (count)","1"
"LOPEZ,Bradly walked","4"
"Closner, O popped up to [position] (count)","1"
"/ for DeSanti","1"
"Draffen to [position] for Norman","1"
"Game resumes at 5:45 p.m. Total delay 1 hour, 26 minutes","1"
"Check swing went around","1"
"Matthews struck out looking","3"
"Boria struck out swinging","1"
"Texas State Right Fielder makes jumping catch on warning track","1"
"MITCHELL,Mal struck out looking (count)","3"
"Ray Birmingham visits the mound","1"
"Lindsay struck out swinging","1"
"Bilinger homered to [fieldLocation], RBI (count)","1"
"Kokaska, Z. struck out swinging (count)","2"
"C. Walker to [position]","1"
"Richards out on the play","1"
"D. Morrow homered to [fieldLocation], 2 RBI","1"
"Perez walked (count)","1"
"Daane flied out to [position] (count)","1"
"E. Crawford pinch hit for T. Goliday","1"
"LoCascio out at [base] [position] to [position]","1"
"Bayless, B. to [position] for Lanclos, T.","1"
"D. Pittman struck out swinging","1"
"BOGGS hit by pitch","1"
"MARSHALL walked","2"
"Bilinger hit into double play [position] to [position] (count)","1"
"CORDOVA-SMITH,Peyton advanced to [base]","7"
"M Sheldon hit by pitch (count)","1"
"Reinig,Z to [position] for Kemp,A","1"
"Lightning delay beginning at 8:59 p.m","1"
"Runner's interference play called at [fieldLocation], resulting in two outs","1"
"C. Phelts scored","1"
"N. Fletcher grounded out to [position] unassisted, bunt, SAC (count)","1"
"Pattin, B. grounded out to [position] (count)","1"
"Benavidez,R scored, scored on an error by [position], unearned","1"
"HAMMERS,Matt homered to [fieldLocation], 2 RBI (count)","1"
"I. Rush struck out swinging (count)","1"
"MCCAULEY,Dan scored","2"
"MONTENEGR0 struck out looking","1"
"Grisanti doubled to [fieldLocation], RBI (count)","1"
"MONTENEGR0 struck out swinging (count)","1"
"Ballerini advanced to [base]","5"
"MCALISTER,KJ to [position] for STANBERY,McKinley","1"
"Libuano, R. singled up the middle (count)","1"
"Originally ruled off the bag, umpires got together and changed call","1"
"Fernando Smi scored","1"
"Grisanti advanced to [base]","18"
"A. Davila grounded into double play [position] to [position] to [position] (count)","1"
"C. Simoneaux tripled down the [fieldLocation] (count)","1"
"Mitchell,D struck out looking (count)","4"
"Saldivar Jr. struck out looking (count)","1"
"Maka struck out looking","1"
"Wilder grounded out to [position]","1"
"Game suspended until noon Sunday","1"
"J. Martinez reached on an error by [position] (count)","1"
"R. Ranie scored","4"
"A. Katlin grounded out to [position] (count)","1"
"Fewell scored","2"
"MONTENEGR0 advanced to [base]","7"
"Batson scored","1"
"Hearn. H. grounded out to [position] (count)","2"
"Daane grounded out to [position] (count)","1"
"UCR head coach Troy Percival visits mound. Pitches: 96, 60 strk. Count: 2-0","1"
"VERLIN,Nate scored, unearned","1"
"Mitchell,D flied out to [position] (count)","11"
"A. Guillen flied out to [position] (count)","2"
"SNIATYSKI hit by pitch (count)","1"
"CHANDLER,Gra to [position] for EDWARDS,Chri","2"
"First Pitch: 4:34 pm","1"
"Koehring,T out at [base] [position] unassisted","1"
"Bakst,Dan struck out swinging (count)","5"
"King struck out swinging (count)","1"
"Game under weather delay at 7:49 pm","1"
"Kokaska, Z. grounded out to [position] (count)","2"
"A. Esposito struck out swinging (count)","2"
"Hearn. H. homered to [fieldLocation], 2 RBI (count)","1"
"Blonski pinch hit for Cox","1"
"Riordan advanced to [base]","3"
"R. Quintanil grounded out to [position] (count)","1"
"LUKE, Bryce doubled to [fieldLocation], RBI (count)","1"
"Klohen, A. struck out swinging","5"
"D. Fleming doubled to [fieldLocation]","1"
"Flores,K to [position]","1"
"Dorris grounded out to [position]","2"
"SNIATYSKI doubled to [fieldLocation]","1"
"Gannon singled to [fieldLocation]","1"
"Garrett, B. advanced to [base]","2"
"Dugger walked","2"
"C. Henderson reached on a fielder's choice to pitcher (count)","1"
"G. Benza out on the play","1"
"Dewaine reached on a fielder's choice","1"
"Matthews advanced to [base]","1"
"A. Gaytan reached on an error by [position] (count)","1"
"TEOFILO,Fale to [position] for WILBURN,Tyle","2"
"Mihalski out on the play","1"
"Corbett grounded out to [position] (count)","1"
"JACKSON,Jayl scored, unearned","1"
"McClain,G singled through the left side (count)","1"
"de Wattevill singled down the [fieldLocation]","1"
"Siegler grounded out to [position]","1"
"Coleman struck out swinging","1"
"J. Harmon advanced to [base]","1"
"Jarvis Warne reached on a throwing error by [position], advanced to [base] (count)","1"
"Milheim,B grounded out to [position] (count)","3"
"D. Barkley grounded out to [position], SAC, bunt","1"
"Hickey out at [base] [position] to [position] to [position]","1"
"Noah Hoth to [position] for C. Barrera","1"
"Clarke walked","1"
"Bilinger fouled out to [position] (count)","1"
"Bakst,Dan struck out looking (count)","1"
"Dejesus,Jame flied out to [position]","1"
"C. Simoneaux singled, bunt (count)","1"
"BC challenged whether out or safe at 1b. Challenge was upheld","1"
"C. Charman advanced to [base]","2"
"Smith,J pinch hit for Diaz,V","1"
"/ for Michael Wash","1"
"CLEMENT flied out to [position]","1"
"Bledsoe struck out swinging","1"
"Closner, O homered to [fieldLocation], 2 RBI (count)","1"
"G. Barber pinch hit for A. Rivera","1"
"Reich, A. stole [base]","2"
"Lovell, W. grounded out to [position]","2"
"LARUE,Will scored","1"
"A lightning delay has occured at 8:26 p.m. (count)","1"
"Nygaard grounded out to [position]","1"
"B. Dewaine struck out swinging","2"
"GAME WAS HALTED DUE TO RAIN AFTER FIVE COMPLETED INNINGS","1"
"Bass to [position] for Maka","1"
"Mitchell,D walked (count)","5"
"Klomfahs, K. advanced to [base]","1"
"GADDIS,Nic singled, RBI","3"
"C. Maddox to [position]","2"
"P. Mueller to [position]","1"
"Padilla grounded out to [position]","3"
"Mcintyre scored","2"
"CLEMENT singled up the middle","1"
"Delaquila, K hit by pitch (count)","1"
"2 ejected for yelling at home plate ump after being thrown out on a squeeze","1"
"Hayes fouled out to [position]","1"
"Diving catch made by South Alabama Left Fielder","1"
"Henriquez grounded out to [position]","1"
"Colon grounded out to [position]","1"
"Runner ruled out","1"
"Sroczynski hit by pitch","1"
